"palabra","letras_acertadas","letras_falladas","intentos","tiempo"
"MATEMATICAS","ACEI","ACEI",11,"2024-11-26 16:41:22.500983"
"MATEMATICAS","ACEI","ACEI",12,"2024-11-26 16:41:22.505489"
"MATEMATICAS","ACEIM","ACEIM",13,"2024-11-26 16:41:22.505489"
"MATEMATICAS","ACEIM","ACEIM",14,"2024-11-26 16:41:22.507803"
"MATEMATICAS","ACEIM","ACEIM",15,"2024-11-26 16:41:22.50972"
"MATEMATICAS","ACEIM","ACEIM",16,"2024-11-26 16:41:22.50972"
"MATEMATICAS","ACEIM","ACEIM",17,"2024-11-26 16:41:22.50972"
"MATEMATICAS","ACEIM","ACEIM",18,"2024-11-26 16:41:22.50972"
"MATEMATICAS","ACEIMS","ACEIMS",19,"2024-11-26 16:41:22.513851"
"PROGRAMACION","A","A",1,"2024-11-26 16:41:22.513851"
"PROGRAMACION","A","A",2,"2024-11-26 16:41:22.516463"
"PROGRAMACION","AC","AC",3,"2024-11-26 16:41:22.516463"
"PROGRAMACION","AC","AC",4,"2024-11-26 16:41:22.521127"
"PROGRAMACION","AC","AC",5,"2024-11-26 16:41:22.522184"
"PROGRAMACION","AC","AC",6,"2024-11-26 16:41:22.522184"
"PROGRAMACION","ACG","ACG",7,"2024-11-26 16:41:22.522184"
"PROGRAMACION","ACG","ACG",8,"2024-11-26 16:41:22.522184"
"PROGRAMACION","ACGI","ACGI",9,"2024-11-26 16:41:22.522184"
"PROGRAMACION","ACGI","ACGI",10,"2024-11-26 16:41:22.522184"
"PROGRAMACION","ACGI","ACGI",11,"2024-11-26 16:41:22.530264"
"PROGRAMACION","ACGI","ACGI",12,"2024-11-26 16:41:22.530264"
"PROGRAMACION","ACGIM","ACGIM",13,"2024-11-26 16:41:22.533563"
"PROGRAMACION","ACGIMN","ACGIMN",14,"2024-11-26 16:41:22.534248"
"PROGRAMACION","ACGIMNO","ACGIMNO",15,"2024-11-26 16:41:22.538202"
"PROGRAMACION","ACGIMNOP","ACGIMNOP",16,"2024-11-26 16:41:22.538202"
"PROGRAMACION","ACGIMNOP","ACGIMNOP",17,"2024-11-26 16:41:22.538202"
"ORDENADOR","A","A",1,"2024-11-26 16:41:22.538202"
"ORDENADOR","A","A",2,"2024-11-26 16:41:22.538202"
"ORDENADOR","A","A",3,"2024-11-26 16:41:22.546567"
"ORDENADOR","AD","AD",4,"2024-11-26 16:41:22.546567"
"ORDENADOR","ADE","ADE",5,"2024-11-26 16:41:22.550684"
"ORDENADOR","ADE","ADE",6,"2024-11-26 16:41:22.55165"
"ORDENADOR","ADE","ADE",7,"2024-11-26 16:41:22.554705"
"ORDENADOR","ADE","ADE",8,"2024-11-26 16:41:22.554705"
"ORDENADOR","ADE","ADE",9,"2024-11-26 16:41:22.554705"
"ORDENADOR","ADE","ADE",10,"2024-11-26 16:41:22.554705"
"ORDENADOR","ADE","ADE",11,"2024-11-26 16:41:22.554705"
"ORDENADOR","ADE","ADE",12,"2024-11-26 16:41:22.562824"
"ORDENADOR","ADE","ADE",13,"2024-11-26 16:41:22.562824"
"ORDENADOR","ADEN","ADEN",14,"2024-11-26 16:41:22.562824"
"ORDENADOR","ADENO","ADENO",15,"2024-11-26 16:41:22.568183"
"ORDENADOR","ADENO","ADENO",16,"2024-11-26 16:41:22.570134"
"ORDENADOR","ADENO","ADENO",17,"2024-11-26 16:41:22.57125"
