,Title,Average Rating,Director,Writer,Metascore,Cast,Release Date,Country of Origin,Languages,Budget,Worldwide Gross,Runtime
10,The Godfather: Part II,9.0,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo",90.0,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton, John Cazale, Talia Shire, Lee Strasberg, Michael V. Gazzo, G.D. Spradlin, Richard Bright, Gastone Moschin, Tom Rosqui, Bruno Kirby, Frank Sivero, Francesca De Sapio, Morgana King, Marianna Hill, Leopoldo Trieste",1979 (India),United States,"English, Italian, Spanish, Latin, Sicilian","$13,000,000 (estimated)","$47,964,222",3 hours 22 minutes
11,The Lord of the Rings: The Return of the King,9.0,Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",94.0,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, Noel Appleby, Ali Astin, Sean Astin, David Aston, John Bach, Sean Bean, Cate Blanchett, Billy Boyd, Sadwyn Brophy, Alistair Browning, Marton Csokas, Richard Edge, Jason Fitch, Bernard Hill","February 6, 2004 (India)","New Zealand, United States","English, Quenya, Old English, Sindarin","$94,000,000 (estimated)","$1,138,263,151",3 hours 21 minutes
12,Sandesham,9.0,Sathyan Anthikad,Sreenivasan,,"Sreenivasan, Jayaram, Thilakan, Maathu, Kaviyoor Ponnamma, Rahul Lakshman, Siddique, Oduvil Unnikrishnan, Mala Aravindan, K.P.A.C. Lalitha, Mammukoya, Sankaradi, Innocent Vareed Thekkethala, Bobby Kottarakkara, T.P. Madhavan, T.R. Omana, Byon, Kalabhavan Haneef","October 30, 1991 (India)",India,Malayalam,,,2 hours 18 minutes
13,Oggatonama,9.0,Tauquir Ahmed,Tauquir Ahmed,,"Shahiduzzaman Selim, Ashraful Tushar, Mosharraf Karim, Nipun, Fazlur Rahman Babu, Abul Hayat, Shatabdi Wadud, Shahed Sharif Khan, Shahed Ali, Ziaul Hasan Kislu, Rounok Shahriar Aayat, Apon, Iqbal Babu, Nazmul Huda Bachchu, Ranojit Chakraborty, Momena Chowdhury, Shafiq Khan Dilu, Pronob Ghosh","August 19, 2016 (Bangladesh)",Bangladesh,Bengali,,,1 hour 40 minutes
14,The Lord of the Rings: The Fellowship of the Ring,8.9,Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",92.0,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean, Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Billy Boyd, Andy Serkis, Marton Csokas, Viggo Mortensen, Megan Edwards, Michael Elsworth, Cate Blanchett, Mark Ferguson, Ian Holm, Christopher Lee","March 15, 2002 (India)","New Zealand, United States, United Kingdom","English, Sindarin","$93,000,000 (estimated)","$888,159,923",2 hours 58 minutes
15,Pulp Fiction,8.9,Quentin Tarantino,"Quentin Tarantino, Roger Avary",95.0,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, Tim Roth, Amanda Plummer, Laura Lovelace, Phil LaMarr, Frank Whaley, Burr Steers, Ving Rhames, Paul Calderon, Bronagh Gallagher, Rosanna Arquette, Eric Stoltz, Jerome Patrick Hoban, Michael Gilden, Gary Shorelle","October 14, 1994 (India)",United States,"English, Spanish, French","$8,000,000 (estimated)","$213,928,762",2 hours 34 minutes
16,I'm Still Here,8.9,Walter Salles,"Murilo Hauser, Heitor Lorega, Marcelo Rubens Paiva",79.0,"Fernanda Torres, Fernanda Montenegro, Selton Mello, Valentina Herszage, Maria Manoella, Bárbara Luz, Gabriela Carneiro da Cunha, Luiza Kosovski, Marjorie Estiano, Guilherme Silveira, Antonio Saboia, Cora Mora, Olívia Torres, Pri Helena, Humberto Carrão, Charles Fricks, Maeve Jinkings, Luana Nastas","November 7, 2024 (Brazil)","Brazil, France",Portuguese,"R$8,000,000 (estimated)","$6,600,000",2 hours 16 minutes
17,O.J.: Made in America,8.9,Ezra Edelman,"Willie Brown, Harry Edwards, John McKay",,"Willie Brown, Harry Edwards, John McKay, Harry Alfred Khasigian, Steve Lehmer, Jeffrey Toobin, Danny Bakewell, Walter Mosley, Dwight Tucker, David Gascon, Bernard Parks, Jim Newton, Carl Douglas, Mark Ridley Thomas, Joe Saltzman, Joe Bell, Jim Brown, Robert Lipsyte","May 20, 2016 (United States)",United States,English,,,7 hours 47 minutes
18,The Message,8.9,Moustapha Akkad,"H.A.L. Craig, Tewfik El-Hakim, A.B. Rahman El-Sharkawi",,"Abdallah Gheith, Mona Wassef, Hamdy Gheith, Ali Ahmed Salem, Mahmoud Saeed, Ahmed Marei, Mohamed El Arabi, Ronald Chenery, Michael Godfrey, Mohammed Tawfik, Habib Ageli, George Camiller, Mounir Maasri, Sanaa Gameel, Bruno Barnabe, John Humphry, John Bennet, Mohamed Wafik",1976 (Kuwait),Libya,Arabic,,,3 hours 27 minutes
19,Tosun Pasa,8.9,Kartal Tibet,Yavuz Turgul,,"Kemal Sunal, Müjde Ar, Adile Nasit, Sener Sen, Aysen Gruda, Ergin Orbey, Ihsan Bilsev, Zihni Göktay, Tuncay Gürel, Günfer Feray, Oya Aydonat, Filiz Toprak, Mete Sezer, Bilge Zobu, Oktar Durukan, Akil Öztuna, Sitki Akçatepe, Nevin Güler","April 24, 2018 (China)",Turkey,Turkish,,,1 hour 30 minutes
20,Mirror Game,8.9,Amitabh Reza Chowdhury,"Syed Gaosul Alam Shaon, Anam Biswas, Adnan Adib Khan",,"Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua, Lutfur Rahman George, Syed Gaosul Alam Shaon, Brindabon Das, Bijori Barkatullah, Amitabh Reza Chowdhury, Heera Chowdhury, Sheikh Mahim Edward, Mohammed Faysal, Samiul Hafiz, Md Mahedi Hasan, Arafat Hossain, Kamrul Hossain, Amjad Hossen, Delowar Hossen, Litan Molla","February 8, 2024 (India)",Bangladesh,Bengali,"BDT 35,000,000 (estimated)",,2 hours 27 minutes
21,Hababam Sinifi: Sinifta Kaldi,8.9,Ertem Egilmez,"Sadik Sendil, Rifat Ilgaz",,"Münir Özkul, Tarik Akan, Kemal Sunal, Adile Nasit, Halit Akçatepe, Semra Özdamar, Sener Sen, Tayfun Akalin, Tuncay Akça, Leman Akçatepe, Sitki Akçatepe, Ahmet Ariman, Orhan Aydinbas, Teoman Ayik, Ertugrul Bilda, Talat Dumanli, Ekrem Dümer, Dilaver Gür",December 1975 (Turkey),Turkey,Turkish,,,1 hour 35 minutes
22,Kireedam,8.9,Sibi Malayil,A.K. Lohithadas,,"Mohanlal, Thilakan, Kaviyoor Ponnamma, Parvathi, Sankaradi, Murali, Jagathy Sreekumar, Maniyanpilla Raju, Mohan Raj, Mammukoya, Jagadish, Oduvil Unnikrishnan, Usha, Yadu Krishnan, Cochin Hanifa, Johny","July 7, 1989 (India)",India,Malayalam,,"$181,001",2 hours 4 minutes
23,Inception,8.8,Christopher Nolan,Christopher Nolan,74.0,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe, Tom Hardy, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas, Tai-Li Lee, Claire Geare, Magnus Nolan, Taylor Geare, Johnathan Geare, Tohoru Masamune","July 16, 2010 (India)","United States, United Kingdom","English, Japanese, French","$160,000,000 (estimated)","$839,030,630",2 hours 28 minutes
24,Fight Club,8.8,David Fincher,"Chuck Palahniuk, Jim Uhls",67.0,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier, Richmond Arquette, David Andrews, George Maguire, Eugenie Bondurant, Christina Cabot, Helena Bonham Carter, Sydney 'Big Dawg' Colston, Rachel Singer, Christie Cronenweth, Tim DeZarn, Ezra Buzzington, Dierdre Downing-Jackson, Bob Stephenson, Charlie Dell","October 15, 1999 (India)","Germany, United States",English,"$63,000,000 (estimated)","$101,321,009",2 hours 19 minutes
25,Forrest Gump,8.8,Robert Zemeckis,"Winston Groom, Eric Roth",82.0,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Rebecca Williams, Michael Conner Humphreys, Harold G. Herthum, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer, Ione M. Telech, Christine Seabrook, John Worsham, Peter Dobson, Siobhan Fallon Hogan, Alexander Zemeckis","September 12, 2014 (India)",United States,English,"$55,000,000 (estimated)","$678,226,465",2 hours 22 minutes
26,12th Fail,8.8,Vidhu Vinod Chopra,"Vidhu Vinod Chopra, Jaskunwar Kohli, Anurag Pathak",,"Vikrant Massey, Medha Shankr, Anant Joshi, Anshuman Pushkar, Geeta Agrawal Sharma, Harish Khanna, Sarita Joshi, Priyanshu Chatterjee, Vikas Divyakirti, Abhishek Sengupta, Triaksh Chhabra, Darius Chinoy, Vijay Kumar Dogra, Fasi Khan, Sam Mohan, Rahul Dev Shetty, Suraj Naagar, Sanjay Bishnoi","October 27, 2023 (India)",India,Hindi,,"$138,288",2 hours 27 minutes
27,"Il Buono, Il Brutto, Il Cattivo",8.8,Sergio Leone,"Luciano Vincenzoni, Sergio Leone, Agenore Incrocci",90.0,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli, Rada Rassimov, Enzo Petito, Claudio Scarchilli, John Bartha, Livio Lorenzon, Antonio Casale, Sandro Scarchilli, Benito Stefanelli, Angelo Novi, Antonio Casas, Aldo Sambrell, Al Mulock, Sergio Mendizábal","April 15, 1969 (India)","Italy, Spain, West Germany, United States","Italian, English","$1,200,000 (estimated)","$25,264,999",2 hours 41 minutes
28,The Lord of the Rings: The Two Towers,8.8,Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",87.0,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom, Bruce Allpress, Sean Astin, John Bach, Sala Baker, Cate Blanchett, Billy Boyd, Jed Brophy, Sam Comery, Brad Dourif, Calum Gittins, Bernard Hill, Bruce Hopkins, Paris Howe Strewe, Christopher Lee","March 28, 2003 (India)","New Zealand, United States","English, Sindarin, Old English","$94,000,000 (estimated)","$938,242,927",2 hours 59 minutes
29,The Phantom of the Opera at the Royal Albert Hall,8.8,"Nick Morris, Laurence Connor","Richard Stilgoe, Andrew Lloyd Webber, Gaston Leroux",,"Ramin Karimloo, Sierra Boggess, Hadley Fraser, Wendy Ferguson, Barry James, Gareth Snook, Liz Robertson, Wynne Evans, Sergei Polunin, Daisy Maywood, Nick Holder, Earl Carpenter, Philip Griffiths, Simon Green, Stephen John Davis, Garðar Cortes, Heather Jackson, Ellen Jackson","October 2, 2011 (United Kingdom)",United Kingdom,English,,"$5,247,282",2 hours 17 minutes
30,Demon Slayer: Tsuzumi Mansion Arc,8.8,Haruo Sotozaki,Koyoharu Gotouge,,,"September 18, 2021 (Japan)",Japan,Japanese,,"$67,358",1 hour 27 minutes
31,Les Misérables in Concert: The 25th Anniversary,8.8,"Nick Morris, Laurence Connor, James Powell","Alain Boublil, Claude-Michel Schönberg, Victor Hugo",,"Alfie Boe, Norm Lewis, Matt Lucas, Jenny Galloway, Lea Salonga, Samantha Barks, Nick Jonas, Katie Hall, Ramin Karimloo, Earl Carpenter, Hadley Fraser, Jonathan Williams, Mike Sterling, Tom Pearce, Gerónimo Rauch, Nic Greenshields, Tony Whittle, Graham Gill","October 3, 2010 (United Kingdom)",United Kingdom,English,,"$742,004",2 hours 58 minutes
32,The Human Condition III: A Soldier's Prayer,8.8,Masaki Kobayashi,"Zenzô Matsuyama, Kôichi Inagaki, Masaki Kobayashi",,"Tatsuya Nakadai, Michiyo Aratama, Tamao Nakamura, Yûsuke Kawazu, Chishû Ryû, Taketoshi Naitô, Kyôko Kishida, Reiko Hitomi, Keijirô Morozumi, Kôji Kiyomura, Nobuo Kaneko, Fujio Suga, Tatsuya Ishiguro, Kazuo Kitamura, Toshio Takahara, Akira Yamanouchi, Hiroshi Nihon'yanagi, Kôichi Hayashi","January 28, 1961 (Japan)",Japan,"Japanese, Mandarin, Russian",,,3 hours 10 minutes
33,#Home,8.8,Rojin Thomas,Rojin Thomas,,"Indrans, Sreenath Bhasi, Manju Pillai, Naslen, Kainakary Thankaraj, Johny Antony, Maniyanpilla Raju, Vijay Babu, Deepa Thomas, Srikant Murali, K.P.A.C. Lalitha, Anoop Menon, Aju Varghese, Dev Mohan, Pauly Valsan, Geethi Sangeetha, Linchu Joseph, Jianna Ros Rijin","August 19, 2021 (India)",India,Malayalam,,,2 hours 38 minutes
34,Balkanski spijun,8.8,"Dusan Kovacevic, Bozidar 'Bota' Nikolic",Dusan Kovacevic,,"Danilo 'Bata' Stojkovic, Bora Todorovic, Mira Banjac, Sonja Savic, Zvonko Lepetic, Velimir 'Bata' Zivojinovic, Predrag Lakovic, Branka Petric, Milivoje 'Mica' Tomic, Milan Strljic, Milan 'Caci' Mihailovic, Vladan Zivkovic, Ljiljana Jovanovic, Zoran Ratkovic, Dragoljub Petrovic, Tomislav Pejcic, Milorad Novakovic, Ratko Novakovic","October 8, 1987 (Hungary)",Yugoslavia,Serbo-Croatian,,,1 hour 35 minutes
35,Maratonci trce pocasni krug,8.8,Slobodan Sijan,Dusan Kovacevic,,"Bogdan Diklic, Danilo 'Bata' Stojkovic, Pavle Vuisic, Mija Aleksic, Milivoje 'Mica' Tomic, Radislav Lazarevic, Zoran Radmilovic, Jelisaveta 'Seka' Sablic, Bora Todorovic, Melita Bihali, Fahro Konjhodzic, Veljko Mandic, Mihajlo 'Bata' Paskaljevic, Dragoljub Milosavljevic-Gula, Miroslav Jovanovic, Dragoslav Jovanovic, Milovan Tasic, Milan Janjic","March 4, 1982 (Yugoslavia)",Yugoslavia,Serbian,,,1 hour 32 minutes
36,The Last Farmer,8.8,M. Manikandan,M. Manikandan,,"Nallandi, Vijay Sethupathi, Yogi Babu, Ravi Prakash, Raichal Rabecca","February 11, 2022 (India)",India,Tamil,,"$5,800",2 hours 2 minutes
37,Natsamrat,8.8,"Mahesh Manjrekar, Satish Padwal","Abhijeet Shirish Deshpande, Mahesh Manjrekar, Guru Thakur",,"Nana Patekar, Medha Manjrekar, Mrunmayee Deshpande, Sunil Barve, Vikram Gokhale, Ajit Parab, Neha Pendse, Samir Chandra, Nilesh Divekar, Jitendra Joshi, Shridhar Limaye, Savita Malpekar, Sandeep Pathak, Pooja Sawant, Aniket Vishwasrao, Jaywant Wadkar","January 1, 2016 (India)",India,Marathi,,$633,2 hours 46 minutes
38,Süt Kardesler,8.8,Ertem Egilmez,"Hüseyin Rahmi Gürpinar, Sadik Sendil",,"Kemal Sunal, Sener Sen, Halit Akçatepe, Hale Soygazi, Adile Nasit, Aysen Gruda, Ali Sen, Yasemin Esmergül, Jale Altug, Tayfun Akalin, Taci Ersan, Enis Fosforoglu, Cengiz Nezir, Ergin Orbey, Ata Saka, Türker Tekin, Murat Tok, Dinçer Çekmez","March 21, 1976 (Turkey)",Turkey,Turkish,,,1 hour 20 minutes
39,C/O Kancharapalem,8.8,Venkatesh Maha,Venkatesh Maha,,"Radha Bessy, Subba Rao Vepada, Praneeta Patnaik, Karthik Rathnam, Praveena Paruchuri, Mohan Bhagat, Nithyasree Goru, Kesava Karri, Appa Rao Adari, Janakiramayya Adari, Ramesh Aditya, Mohan Alla, Akula Anil, Apparao, Brahmanandam Atta, Kumar Avinash, Ammoru Babu, Sravani Bessy","September 7, 2018 (India)",India,Telugu,,,2 hours 32 minutes
40,Monpura,8.8,"Md. Hafizur Rahman, Giasuddin Selim","Arif Hossain, Giasuddin Selim",,"Chanchal Chowdhury, Farhana Mili, Shirin Alam, Mohiuddin Bahar, Rocky Chowdury, Md Mahedi Hasan, Siam Howlader, Nawar Hussain, Fardin Kamal, Ahsanul Haq Minu, Mohammad Amir Mohsin, Mahtim Munna, Imran Nazim, Fazlur Rahman Babu, Arafatur Rahman, Mamunur Rashid, Md Nahidul Islam Riaz, Monir Khan Shimul","February 13, 2009 (Bangladesh)",Bangladesh,Bengali,,,2 hours 16 minutes
41,Nadodikkattu,8.8,Sathyan Anthikad,"Sreenivasan, Lal, Siddique",,"Mohanlal, Sreenivasan, Shobana, Thilakan, Innocent Vareed Thekkethala, Janardanan, Captain Raju, Mammukoya, Meena, Sankaradi, Johny, Kollam Ajith, Santha Devi, C.I. Paul, T.P. Madhavan, Bobby Kottarakkara, Kothuku Nanappan, Rajan Padoor","May 6, 1987 (India)",India,Malayalam,,,2 hours 38 minutes
42,Aparajito,8.8,Anik Datta,"Anik Datta, Sreeparna Mitra, Utsav Mukherjee",,"Jeetu Kamal, Saayoni Ghosh, Debashis Roy, Paran Banerjee, Ritwick Purkait, Saunak Samanta, Anjana Basu, Anusha Viswanathan, Ayushmaan Mukherjee, Haro Kumar Gupta, Anusuya Majumdar, Barun Chanda, Samik Bandyopadhyay, Rohit Basfore, Rishav Basu, Sanjay Biswas, Mahul Brahma, Bimal Chakraborty","May 13, 2022 (India)",India,Bengali,,"$18,068",2 hours 18 minutes
43,Nuvvu Naaku Nachchav,8.8,Vijay K. Bhaskar,"Trivikram Srinivas, Vijay K. Bhaskar",,"Venkatesh Daggubati, Aarthi Agarwal, Suhasini, Ananth, Babu Mohan, Joy Badlani, Tanikella Bharani, Brahmanandam, Sabyasachi Chakrabarty, Chandramohan, Kallu Chidambaram, Vajja Venkata Giridhar, Hema, Mallikharjunarao, Melkote, M.S. Narayana, Pruthvi, Prakash Raj","September 6, 2001 (India)",India,Telugu,,,3 hours 4 minutes
44,Interstellar,8.7,Christopher Nolan,"Jonathan Nolan, Christopher Nolan",74.0,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy, Ellen Burstyn, John Lithgow, Timothée Chalamet, David Oyelowo, Collette Wolfe, Francis X. McCarthy, Bill Irwin, Andrew Borba, Wes Bentley, William Devane, Michael Caine, David Gyasi, Josh Stewart, Casey Affleck","November 7, 2014 (India)","United States, United Kingdom, Canada",English,"$165,000,000 (estimated)","$732,055,745",2 hours 49 minutes
45,GoodFellas,8.7,Martin Scorsese,"Nicholas Pileggi, Martin Scorsese",92.0,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino, Frank Sivero, Tony Darrow, Mike Starr, Frank Vincent, Chuck Low, Frank DiLeo, Henny Youngman, Gina Mastrogiacomo, Catherine Scorsese, Charles Scorsese, Suzanne Shepherd, Debi Mazar, Margo Winkler","July 31, 2019 (India)",United States,"English, Italian, Hebrew, Yiddish","$25,000,000 (estimated)","$47,054,352",2 hours 25 minutes
46,The Matrix,8.7,"Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski",73.0,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory, Anthony Ray Parker, Paul Goddard, Robert Taylor, David Aston, Marc Aden Gray, Ada Nicodemou, Deni Gordon, Rowan Witt","September 11, 1999 (India)","United States, Australia",English,"$63,000,000 (estimated)","$467,840,449",2 hours 16 minutes
47,One Flew Over the Cuckoo's Nest,8.7,Milos Forman,"Lawrence Hauben, Bo Goldman, Ken Kesey",84.0,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown, Scatman Crothers, Mwako Cumbuka, Danny DeVito, William Duell, Josip Elic, Lan Fendors, Nathan George, Ken Kenny, Mel Lambert, Sydney Lassick, Kay Lee, Christopher Lloyd","March 10, 1977 (India)",United States,English,"$3,000,000 (estimated)","$109,115,366",2 hours 13 minutes
48,Star Wars: Episode V - The Empire Strikes Back,8.7,Irvin Kershner,"Leigh Brackett, Lawrence Kasdan, George Lucas",82.0,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, Peter Mayhew, Kenny Baker, Frank Oz, Alec Guinness, Jeremy Bulloch, John Hollis, Jack Purvis, Des Webb, Clive Revill, Kenneth Colley, Julian Glover, Michael Sheard","December 10, 1980 (India)",United States,English,"$18,000,000 (estimated)","$550,016,086",2 hours 4 minutes
49,Jai Bhim,8.7,T.J. Gnanavel,"T.J. Gnanavel, Rajendra Sapre",,"Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan, Prakash Raj, Rao Ramesh, Guru Somasundaram, M.S. Bhaskar, V. Jayaprakash, Sibi Thomas, Ilavarasu, Jayarao, Sujatha Sivakumar, Ravi Venkatraman, Tamizh, Supergood Subramani, Bala Hasan, Raja Rani Pandian","November 2, 2021 (India)","India, United States",Tamil,,,2 hours 44 minutes
50,Kill Bill: The Whole Bloody Affair,8.7,Quentin Tarantino,"Quentin Tarantino, Uma Thurman",,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen, Daryl Hannah, David Carradine, Julie Dreyfus, Chiaki Kuriyama, Shin'ichi Chiba, Chia-Hui Liu, Michael Parks, Michael Bowen, Jun Kunimura, Kenji Ôba, Yuki Kazamatsuri, James Parks, Sakichi Sato, Jonathan Loughran",May 2006 (United States),United States,"English, Japanese, Mandarin, French, Cantonese, Spanish",,,4 hours 7 minutes
51,Stop Making Sense,8.7,Jonathan Demme,"Jonathan Demme, Talking Heads",94.0,"David Byrne, Bernie Worrell, Alex Weir, Steven Scales, Lynn Mabry, Ednah Holt, Tina Weymouth, Jerry Harrison, Chris Frantz, Talking Heads","November 16, 1984 (West Germany)",United States,"English, French","$1,200,000 (estimated)","$13,001,597",1 hour 28 minutes
52,Sabari,8.7,Anilkatz,"Anilkatz, Sanni Nagababu",,"Varalaxmi Sarathkumar, Ganesh Venkatraman, Shashank Siddamsetty, Mime Gopi, Rajshri Nair, Madhunandan, Bhadram, Ashrita Vemuganti, Krishna Teja, Baby Niveksha, Archana Ananth, Rajsekhar Aningi, Sunaina Badam, Keshav Deepak, Harshini Koduru, Meena Kumari, Bindhu Pagidimarri, Jabardasth Phani","May 3, 2024 (India)",India,Telugu,,,2 hours 9 minutes
53,Kalinga,8.7,Dhruva Vaayu,"Rama Rao Jadhav, Dhruva Vaayu",,"Dhruva Vaayu, Pragya Nayan, Aadukalam Naren, Laxman Meesala, Tanikella Bharani, Shiju, Muralidhar Goud, Sammeta Gandhi, Preeti Sundar Kumar, Balgam Sudhakar, Prardhini, Sanjay Krishna, Siddharth Gollapudi, Sreemani","September 13, 2024 (India)",India,Telugu,,"$3,914",1 hour 56 minutes
54,Soorarai Pottru,8.7,Sudha Kongara,"Sudha Kongara, Shalini Ushadevi, Vijay Kumar",,"Suriya, Aparna Balamurali, Paresh Rawal, Urvashi, Mohan Babu, 'Poo' Ram, Karunas, Krishnakumar Balasubramanian, Vivek Prasanna, Kaali Venkat, Vinodhini Vaidynathan, Prakash Belawadi, Achyuth Kumar, Dan Dhanoa, R.S. Shivaji, Raams, Gnanasambandan Gurunathan, Vishalini","November 11, 2020 (India)",India,Tamil,"₹150,000,000 (estimated)",,2 hours 33 minutes
