id,titulo,año,duracion (min),pais,direccion,guion,musica,fotografia,productora,reparto,genero,sinopsis,nota,votaciones,web
258361.0,"Little Man, What Now?",1934.0,98.0,Estados Unidos,['Frank Borzage'],['William Anthony McGuire (Novela: Hans Fallada)'],['Arthur Kay'],['Norbert Brodine (B&W)'],['Universal Pictures'],"['Margaret Sullavan', 'Douglas Montgomery', 'Alan Hale', 'Muriel Kirkland', 'Alan Mowbray', 'Mae Marsh', 'Catherine Doucet']","[['Drama'], ['Romance']]","Alemania, años 30. Melodrama sobre la necesidad del amor para sobrevivir en momentos de miseria material y espiritual. Una pareja de enamorados tropieza con graves dificultades tras el triunfo del nacionalsocialismo y la subida al poder de Hitler.  (FILMAFFINITY)","7,2",105.0,https://www.filmaffinity.com/es/film258361.html
461151.0,¿Y ahora qué hago? (TV Series),2007.0,25.0,México,"['Adal Ramones (Creator)', 'Eduardo Suárez Castellot', 'Luis Eduardo Reyes']",['NA'],['NA'],['Juan Carlos Carrasco'],['Televisa S.A. de C.V.'],"['Adal Ramones', 'María José Suárez', 'Patricia Maqueo', 'Julia Maqueo', 'Anna Sobero', 'Alejandro Calva', 'José María Negri', 'Yolanda Martínez', 'Mauricio Clark', 'Samia Bracamonte', 'Mirko Ruggiero']","[['Serie de TV'], ['Comedia']]","13 Episodios. (2007) “¿Y ahora qué hago?” es una serie de comedia donde Adal Ramones se muestra como un ser humano común con su esposa y su hija, con su amigo y escritor Gerard, así como la relación que tiene con su representante y con su psicólogo quien, en lugar de ayudarlo, lo confunde cada vez más.
Adal se encontrará con diversos eventos con los que debe enfrentarse día a día: la familia, el trabajo, la casa, los hijos, los amigos, elementos que en ocasiones le darán múltiples satisfacciones pero al mismo tiempo dolores de cabeza.
“¿Y ahora qué hago?” es una comedia de situación basada en hechos y personajes reales que tratará de reflejar lo que vive Adal y mostrar al público lo complejo que la vida de un artista puede llegar a ser. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film461151.html
958117.0,"¿Y ahora qué, señor fiscal?",1977.0,112.0,España,['León Klimovsky'],['Ignacio F. Iquino (Novela: José Luis Martín Vigil)'],['Enrique Escobar'],['Francisco Sánchez'],['Coproducción España-México; IFI Producción / Producciones Mexicanas'],"['Valentín Trujillo', 'Leticia Perdigón', 'Verónica Miriel', 'Silvia Solar', 'Susana Mayo', 'Ricardo Masip', 'Lina Michel', 'Ignacio López Tarso', 'Fernando Allende']",[['Drama']],"José, un joven que vive en un barrio obrero, está acostumbrado a sobrevivir en medio de grandes dificultades. Un verano conoce a Paloma, una chica de buena familia, y entre ellos surge un amor que tropieza con la oposición de la acomodada familia de la chica. Dos circunstancias complican todavía más la situación: ella se queda embarazada y él perpetra un robo en casa de un familiar de Paloma. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film958117.html
620197.0,"Y, ahora, una de ladrones (S)",1936.0,12.0,España,['Eduardo García Maroto'],['Eduardo García Maroto'],['Daniel Montorio'],['José María Beltrán (B&W)'],['Compañía Industrial Film Español S.A. (CIFESA)'],"['Antonio del Pino', 'Sahara Demaris', 'Jaime García Herranz', 'Francisco Melgares', 'José Nieva', 'Erasmo Pascual', 'Francisco Zabala']",[['Comedia']],"Parodia de las películas policíacas. Un director de cine acude al museo criminológico municipal para documentarse para su próxima película, que acabará como el rosario de la aurora por obra y gracia de una ensalada de tiros. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film620197.html
353201.0,Certain Fury,1985.0,87.0,Estados Unidos,['Stephen Gyllenhaal'],['Michael Jacobs'],"['Russ Kunkel', 'George Massenburg', 'Bill Payne']",['Kees Van Oostrum'],['NA'],"[""Tatum O'Neal"", 'Irene Cara', 'Nicholas Campbell', 'George Murdock', 'Moses Gunn', 'Peter Fonda', 'Rodney Gage', 'Jonathon Pallone']","[['Acción'], ['Drama']]","Varias muchachas entran en una sala de Tribunal para ser juzgadas. Entre ellas se encuentra Scarlett McGinnis, muchacha que ha crecido entre delicuentes, y Tracy Freeman, universitaria muy asustada... (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film353201.html
456014.0,"...Y al tercer año, resucitó",1980.0,90.0,España,['Rafael Gil'],['Fernando Vizcaíno Casas (Novela: Fernando Vizcaíno Casas )'],['Gregorio García Segura'],['José F. Aguayo'],['Cinco Films'],"['José Bódalo', 'Mary Begoña', 'Francisco Cecilio', 'Florinda Chico', 'Juan Luis Galiardo', 'Antonio Garisa', 'Isabel Luque', 'José Nieto', 'José Sancho', 'Manuel Alexandre']",[['Comedia']],"Todo comienza una mañana del 20 de noviembre de 1978, cuando un camionero recoge a un extraño individuo en mitad de la carretera. Cuando éste le indica que le lleve al Palacio del Pardo (residencia oficial del dictador), el camionero se da cuenta de quién puede ser el autoestopista. (FILMAFFINITY)","3,6",142.0,https://www.filmaffinity.com/es/film456014.html
896746.0,Paris Underground,1945.0,97.0,Estados Unidos,['Gregory Ratoff'],"['Boris Ingster', 'Gertrude Purcell\t(Novela: Etta Shiber)']",['Alexander Tansman'],['Lee Garmes (B&W)'],['Constance Bennett Productions'],"['Constance Bennett', 'Gracie Fields', 'George Rigaud', 'Kurt Kreuger', 'Leslie Vincent', 'Charles Andre', 'Eily Malyon', 'Vladimir Sokoloff', 'Richard Ryen', 'Gregory Gaye', 'Maurice Cass', ""Adrienne D'Ambricourt"", 'Andrew V. McLaglen']",[['Drama']],"Dos mujeres, una americana y otra inglesa, se dedican de manera encubierta a salvar a aquellos pilotos aliados abatidos en territorio francés. Su labor se verá entorpecida al ser descubiertas por el ejército enemigo. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film896746.html
354839.0,Y a-t-il un Français dans la salle?,1982.0,106.0,Francia,['Jean-Pierre Mocky'],"['Jean-Pierre Mocky', 'Frédéric Dard (Novela: Frédéric Dard)']",['Roger Loubet'],['Michel Kelber'],['Belstar Productions / M. Films / Marianne Productions'],"['Victor Lanoux', 'Jacques Dutronc', 'Jacqueline Maillan', 'Michel Galabru', 'Dominique Lavanant', 'Andréa Ferréol', 'Jean-François Stévenin', 'Jean-Luc Bideau', 'Emmanuelle Riva', 'Marion Peterson', 'François Cavanna', 'Jacques Dufilho', 'Jean Barney']",[['Comedia']],"Horace Tumelat es el líder del RAS, un importante partido político que se encuentra en la cumbre de su poder. Horace llegó a ser una figura tan destacada gracias al apoyo y consejo de su tío Eusèbe, de quien acaba de recibir la noticia de su fallecimiento. Según sabe Horace, su tío le dejó una importante carta dónde le contaba cierto asunto turbio relacionado con un hombre llamado Eusèbe, quien intentó chantajearle utilizando su pasado como colaboracionista con el régimen nazi. Deberá por lo tanto atraer la atención de los investigadores de la policía por si aparece esa carta y evitar que salga a la luz esos capítulos oscuros de su pasado. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film354839.html
522401.0,Y a-t-il une vierge encore vivante? (S),2015.0,9.0,Francia,['Bertrand Mandico'],"['Elina Löwensohn', 'Bertrand Mandico']",['NA'],['Pascale Granel'],['Ecce Films'],"['Elina Löwensohn', 'Eva Maloisel (Voz: Thomas Arnold)']",[['Fantástico']],"Según una leyenda inglesa, Juana de Arco no murió en la hoguera. Se quemó sus ojos y fue desflorada por un Inglés. Entonces fue condenada a vagar por el campo de batalla, en la búsqueda de la vida, en busca de vírgenes todavía vivos. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film522401.html
607276.0,Und wenn sie nicht gestorben sind... Die Kinder von Golzow - Das Ende der unendlichen Geschichte,2006.0,278.0,Alemania,"['Winfried Junge', 'Barbara Junge']","['Winfried Junge', 'Barbara Junge (Idea: Karl Gass)']","['Gerhard Rosenfeld', 'Kurt Grottke']","['Harald Klix', 'Hans-Eberhard Leupold']",['A Jour Film- und Fernsehproduktion'],['Documentary'],[['Documental']],"Las vidas de cinco niños de Golzow, en la antigua República Democrática de Alemania, que ahora rondarán los 50 años. Esta película se empezó a rodar justo al año de la construcción del muro de Berlín y continuó durante más de cuatro décadas. Illona, Winfried, Jürgen, Petra y Christian, con la historia de los últimos 45 años de Alemania como telón de fondo, son los protagonistas. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film607276.html
460812.0,¿Y cómo es él? (S),2001.0,18.0,México,['Issa García-Ascot Ogarrio'],['Issa García-Ascot Ogarrio'],['Alexis Ruiz'],['Erika Licea Orozco'],['CUEC-UNAM'],"['Flor Eduarda Gurrola', 'Andrés Almeida', 'Iván Krassoievitch', 'Marta Aura']",[['Drama']],"Después de una noche de copas, Julia decide acabar de una buena vez con sus problemas de desamor y ultimar al responsable de sus penas. En su misión homicida, Julia es ayudada por sus dos compas, pero la cosa se vuelve difícil a medida que el ambiente se pone cada vez más pesado. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film460812.html
686032.0,"Ming, ragazzi! (Mr. Hercules Against Karate)",1973.0,103.0,Italia,['Antonio Margheriti'],"['Luciano Vincenzoni', 'Sergio Donati', 'Giovanni Simonelli', 'Antonio Margheriti']",['Carlo Savina'],['Luciano Trasatti'],['Compagnia Cinematografica Champion / Laser'],"['Alberto Terracina', 'Fernando Bilbao', 'George Wang', 'Jolina Mitchell-Collins', 'Luciano Pigozzi', 'Sue Chang', 'Giorgio Dolfin', 'Frank Nuyen', 'Chai Lee', 'Romano Puppo', 'Seyna Seyn', 'Max Turilli', 'Franco Ressel', 'Pietro Torrisi', 'Robert Luao', 'Tom Felleghy']","[['Acción'], ['Comedia']]","Dos estadounidenses van a Hong Kong a rescatar al hijo del dueño de un restaurante chino, que fue secuestrado por su madrastra y por el sádico jefe de una escuela de kung-fu. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film686032.html
906463.0,Lo chiameremo Andrea,1972.0,100.0,Italia,['Vittorio De Sica'],"['Leonardo Benevenuti', 'Piero de Bernardi', 'Cesare Zavattini']",['Manuel De Sica'],['Ennio Guarnieri'],['Verona Produzione'],"['Nino Manfredi', 'Mariangela Melato', 'Anna Maria Aragona', 'Giulio Baraghini', 'Maria Pia Casilio', 'Donato Di Sepio', 'Isa Miranda']",[['Comedia']],"Paolo y Maria Antonazzi, un matrimonio de maestros de escuela, están deseando ser padres, pero como sus deseos no se cumplen, buscan la ayuda de un médico suizo. Parece que Paolo está perfectamente, por lo que se supone que el problema podría ser de Maria. Entonces ella decide fingir que está embarazada y con su marido prepara una habitación para el bebé. (FILMAFFINITY)","5,6",30.0,https://www.filmaffinity.com/es/film906463.html
880288.0,Et la tendresse?... Bordel!,1979.0,105.0,Francia,['Patrick Schulmann'],['Patrick Schulmann'],['Patrick Schulmann'],['Jacques Assuérus'],['Chloë Productions / Foch Productions'],"['Jean-Luc Bideau', 'Bernard Giraudeau', 'Evelyne Dress', 'Anne-Marie Philippe', 'Régis Porte', 'Stéphane Delcher', 'Roland Giraud', 'Cathy Reghin', 'Virginie Vignon', 'Gino Da Ronch', 'Sophie Berger', 'Janine Mondon', 'Marie-Noëlle Barre', 'Léo Campion']",[['Comedia']],"Tres parejas en busca de la felicidad: una ""falocrática"", una romántica, y una tierna. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film880288.html
660970.0,"Y de postre, qué (S)",2009.0,11.0,España,['Fernando González Gómez'],['Fernando González Gómez'],['Fernando Alvarez'],['Fernando González Gómez'],['Distribuida por Lolita Peliculitas Artes Visuales'],"['Ana de Armas', 'Fernando Tielve', 'Niko Verona']",[['Comedia']],,,,https://www.filmaffinity.com/es/film660970.html
543216.0,...Y de pronto el amanecer,2017.0,195.0,Chile,['Silvio Caiozzi'],"['Jaime Casas', 'Silvio Caiozzi']",['Valentina Caiozzi'],['Nelson Fuentes'],['NA'],"['Julio Jung', 'Sergio Hernández', 'Arnaldo Berrios', 'Magdalena Müller', 'Mauricio Riveros', 'Pablo Schwarz', 'Anita Reeves', 'Pedro Vicuña', 'Nelson Brodt']",[['Drama']],"Pancho Veloso, viejo escritor de artículos de farándula capitalina, vuelve a su pueblo natal de la Patagonia chilena después de más de 40 años de haber huido. Al intentar escribir cuentos “vendibles” sobre aquella zona de fin de mundo, enfrentará su pasado y dejará su impostura. Así podrá crear por primera vez en su vida una novela, en la que convertirá a sus amigos y su amada en personajes, y a sí mismo… en un artista de verdad. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film543216.html
837487.0,Holidaze (TV),2013.0,86.0,Estados Unidos,['Jerry Ciccoritti'],"['Ann Gunder', 'Michael Vickerman']",['James Gelfand'],['Michael Storey'],['Nitelite Entertainment / Muse Entertainment Enterprises'],"['Jennie Garth', 'Cameron Mathison', 'Kristin Booth', 'Maria del Mar', 'Conrad Coates', 'Shannon Kook', 'Rachael Crawford', 'Paula Rivera', 'Glenda Braganza', 'Charlie Carrick', 'Mary Kay Place', 'Shadia Ali', 'Sarah Michelle Brown', 'Paul De La Rosa', 'Ho Chow', 'Eve Crawford']","[['Romance'], ['Comedia'], ['Fantástico']]","Melody, la vicepresidenta de una compañía, está de visita en su pueblo por razones de trabajo y se encuentra con Carter, su antiguo novio. La situación se vuelve tensa y, en un momento de ira, Melody tropieza y sufre un fuerte golpe en la cabeza. Al despertar, le aseguran que está casada con Carter y que vive en el pueblo. Desconcertada, decide escapar del hospital y regresar a su empresa, pero, al llegar allí, nadie la reconoce... (FILMAFFINITY)","3,7",110.0,https://www.filmaffinity.com/es/film837487.html
117288.0,Trainwreck,2015.0,125.0,Estados Unidos,['Judd Apatow'],['Amy Schumer'],['Jon Brion'],['Jody Lee Lipes'],['Apatow Productions / Universal Pictures'],"['Amy Schumer', 'Bill Hader', 'Tilda Swinton', 'Brie Larson', 'Colin Quinn', 'Vanessa Bayer', 'John Cena', 'Ezra Miller', 'LeBron James', 'Randall Park', 'Jon Glaser', 'Daniel Radcliffe', 'Marisa Tomei', 'Matthew Broderick', 'Leslie Jones', 'Devin Fabry', 'Norman Lloyd', 'Dan Soder']","[['Comedia'], ['Drama'], ['Romance']]","Desde pequeña, Amy ha oído a su padre decir que la monogamia no es un estado realista. La periodista vive de acuerdo con las creencias de su padre, disfrutando de una vida sin ataduras, libre de aburridas promesas románticas. Sin embargo, ha llegado a un punto muerto. Cuando descubre que se está enamorando del hombre al que dedica un artículo, un encantador y exitoso médico deportivo llamado Aaron Conners, Amy se replantea sus creencias y su estilo de vida. (FILMAFFINITY)","5,1",8.217,https://www.filmaffinity.com/es/film117288.html
834861.0,"Y decirte alguna estupidez, por ejemplo, te quiero",2000.0,90.0,España,['Antonio del Real'],"['Martín Casariego', 'Antonio del Real (Novela: Martín Casariego)']",['Pablo Miyar'],['Hans Burmann'],['José Frade P.C.'],"['Sergio Martín', 'Blanca Jara Fernández', 'Concha Cuetos', 'Borja Voces', 'Miguel A. Valcárcel', 'Alejo Sauras', 'Emilio Gutiérrez Caba', 'María Isbert']","[['Comedia'], ['Drama'], ['Romance']]","Nada más empezar 2º de BUP, Juan se enamora de Sara, la chica nueva de su clase. Como es un chico muy reservado, no se lo cuenta ni a ella ni a sus mejores amigos. Sara, por su parte, desconcierta continuamente a Juan, al que alternativamente atrae y ahuyenta. Cuando ella le propone robar los exámenes, Juan acepta para compartir la aventura. (FILMAFFINITY)","3,8",1.8430000000000002,https://www.filmaffinity.com/es/film834861.html
871240.0,Gli fumavano le Colt... lo chiamavano Camposanto,1971.0,94.0,Italia,['Giuliano Carnimeo'],['Enzo Barboni'],['Bruno Nicolai'],['Stelvio Massi'],['Flora Film / National Cinematografica'],"['Gianni Garko', 'William Berger', 'Chris Chittell', 'Ugo Fangareggi', 'John Fordyce', 'Raimondo Penne', 'Franco Ressel', 'Aldo Barberito', 'Nello Pazzafini', 'Ugo Adinolfi', 'Fortunato Arena', 'Ivano Staccioli', 'Claudio Ruffini', 'Franco Ukmar', 'Giovanni Di Benedetto']","[['Western'], ['Comedia']]","John y George McIntire y George son dos hermanos que viajan al oeste, a una ciudad sin ley, para ver a su padre. Enseguida se meten en problemas cuando golpean al miembro de una banda de extorsionadores. Afortunadamente, un misterioso pistolero errante decide ayudar a los hermanos. (FILMAFFINITY)","4,5",72.0,https://www.filmaffinity.com/es/film871240.html
808678.0,...Y del hijo (S),2002.0,16.0,España,['Alfonso S. Suárez'],['Alfonso S. Suárez'],['Juan Carlos Casimiro'],['Gregorio Torre'],['NA'],"['Avelino Arias', 'Eladio Sánchez', 'Luján Argüelles', 'Francisco García Robledo']",[['Drama']],"Un actor interpreta en el teatro una escena sobre un hijo y la relación con su padre cuando, durante el descanso, recibe la visita de su verdadero padre. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film808678.html
125166.0,Y del seguro... ¡líbranos Señor!,1983.0,,España,['Antonio del Real'],"['Fermín Cabal', 'Ignacio del Moral', 'Antonio del Real']",['Teddy Bautista'],['Juan Amorós'],['NA'],"['Juanjo Menéndez', 'Antonio Gamero', 'Alfonso Cabeza', 'Carlos Santurio', 'Santiago Ramos', 'Antonio Medina', 'Alfonso del Real', 'Isabel Luque', 'Agustín González', 'Luis Barbero', 'Carlos Larrañaga', 'Caco Senante', 'Ricardo Palacios', 'María Luisa Ponte', 'Antonio Banderas', 'Blaki', 'Cesáreo Estébanez', 'Jose Lifante', 'Flora María Álvaro', 'Marisa Porcel']",[['Comedia']],Cuenta la historia de un hospital un tanto peculiar. Allí se relatan las aventuras de varios pacientes y trabajadores.,,,https://www.filmaffinity.com/es/film125166.html
554989.0,Y después del cuplé,1959.0,105.0,España,['Ernesto Arancibia'],"['Pío Ballesteros', 'José Gallardo', 'Luis Lucas Ojeda (Historia: Pío Ballesteros)']","['José Pagán', 'Antonio Ramírez Ángel']",['Mario Pacheco'],['Hispamer Films'],"['Marujita Díaz', 'Tony Leblanc', 'Manuel Alexandre', 'Carlota Bilbao', 'Juan Calvo', 'Félix Fernández', 'Trini Montero', 'Guadalupe Muñoz Sampedro', 'Antonio Riquelme', 'Antonio Molino Rojo', 'Ángel Álvarez']","[['Comedia'], ['Musical']]","Luis García (Tony Leblanc), músico que no consigue estrenar lo que compone, se enamora de Lupe (Marujita Díaz), una aspirante a cantante que se gana la vida trabajando en un parque de atracciones. Decide adoptar la identidad de William A. Smith, pues está convencido de que si le creen extranjero alcanzará el éxito. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film554989.html
