id_envio,fecha_envio,origen,destino,peso_kg,tipo_envio,estado
41,2025-05-31,Bilbao,Zaragoza,17.72,express,en camino
42,2025-05-25,Valencia,Granada,23.46,estandar,entregado
43,2025-05-24,Valencia,Sevilla,37.75,estandar,entregado
44,2025-05-29,Barcelona,Bilbao,47.13,estandar,en camino
45,2025-05-07,Malaga,Bilbao,42.72,estandar,en reparto
46,2025-05-22,Toledo,Valencia,45.26,estandar,en camino
47,2025-05-12,Vigo,Zaragoza,-0.07,express,entregado
48,2025-05-20,Valencia,Toledo,29.37,express,entregado
49,2025-05-25,Malaga,Toledo,36.9,express,en camino
50,2025-05-01,Barcelona,Vigo,22.37,express,en camino
51,2025-05-28,Granada,Zaragoza,22.62,estandar,en reparto
52,2025-05-15,Valencia,Barcelona,32.73,express,en reparto
53,2025-05-26,Toledo,Malaga,23.21,express,en reparto
54,2025-05-25,Malaga,Toledo,33.46,express,en camino
55,2025-05-10,Toledo,Zaragoza,21.25,express,en reparto
56,2025-05-26,Toledo,Malaga,31.06,estandar,en reparto
57,2025-05-31,Zaragoza,Sevilla,20.81,estandar,en camino
58,2025-05-07,Vigo,Toledo,-7.18,estandar,en camino
59,2025-05-01,Barcelona,Zaragoza,36.34,express,en camino
60,2025-05-15,Toledo,Sevilla,29.94,express,en camino
61,2025-05-02,Barcelona,Valencia,34.55,estandar,entregado
62,2025-05-01,Granada,Bilbao,33.33,estandar,entregado
63,2025-05-14,Zaragoza,Vigo,14.68,estandar,en camino
64,2025-05-01,Madrid,Bilbao,3.55,express,entregado
65,2025-05-05,Sevilla,Malaga,33.95,estandar,entregado
66,2025-05-16,Madrid,Valencia,11.42,estandar,entregado
67,2025-05-21,Bilbao,Vigo,8.86,estandar,en reparto
68,2025-05-20,Granada,Bilbao,,estandar,en reparto
69,2025-05-20,Barcelona,Bilbao,31.76,express,en camino
70,2025-05-07,Zaragoza,Vigo,-3.05,express,entregado
71,2025-05-30,Valencia,Malaga,19.75,express,en camino
72,2025-05-03,Bilbao,Zaragoza,-4.51,express,en camino
73,2025-05-05,Malaga,Toledo,-8.91,express,en camino
74,2025-05-06,Sevilla,Vigo,38.06,express,en camino
75,2025-05-19,Malaga,Toledo,42.79,estandar,entregado
76,2025-05-23,Valencia,Toledo,45.29,express,en reparto
77,2025-05-02,Zaragoza,Granada,9.52,express,en camino
78,2025-05-22,Madrid,Sevilla,25.24,estandar,en camino
79,2025-05-13,Toledo,Sevilla,9.78,express,en reparto
80,2025-05-06,Bilbao,Granada,47.5,estandar,en reparto
81,2025-05-14,Vigo,Toledo,-2.51,estandar,entregado
82,2025-05-24,Valencia,Madrid,14.94,express,en reparto
83,2025-05-20,Madrid,Vigo,12.66,estandar,en camino
84,2025-05-29,Toledo,Barcelona,20.02,express,entregado
85,2025-05-04,Madrid,Zaragoza,13.94,estandar,entregado
86,2025-05-04,Granada,Madrid,23.51,express,en reparto
87,2025-05-21,Bilbao,Vigo,15.8,estandar,en reparto
88,2025-05-15,Madrid,Bilbao,25.25,estandar,en reparto
89,2025-05-25,Toledo,Sevilla,20.44,express,en camino
90,2025-05-26,Madrid,Barcelona,7.58,express,entregado
91,2025-05-25,Granada,Zaragoza,27.82,express,en camino
92,2025-05-22,Toledo,Madrid,20.11,estandar,en camino
93,2025-05-16,Zaragoza,Valencia,0.01,estandar,entregado
94,2025-05-22,Sevilla,Bilbao,16.46,estandar,en reparto
95,2025-05-21,Sevilla,Toledo,13.49,estandar,en reparto
96,2025-05-18,Bilbao,Vigo,12.89,express,entregado
97,2025-05-30,Toledo,Valencia,38.98,estandar,en camino
98,2025-05-13,Vigo,Barcelona,22.36,estandar,en camino
99,2025-05-28,Vigo,Barcelona,11.47,estandar,entregado
100,2025-05-23,Toledo,Madrid,,express,en camino
101,2025-05-13,Toledo,Madrid,47.66,estandar,entregado
102,2025-05-09,Zaragoza,Barcelona,27.17,estandar,en camino
103,2025-05-17,Barcelona,Granada,19.4,express,en reparto
104,2025-05-10,Valencia,Barcelona,23.31,estandar,en reparto
105,2025-05-20,Valencia,Vigo,-2.74,estandar,en reparto
106,2025-05-24,Barcelona,Madrid,18.45,estandar,en camino
107,2025-05-30,Malaga,Barcelona,28.71,estandar,en reparto
108,2025-05-20,Granada,Bilbao,32.95,express,en camino
109,2025-05-26,Vigo,Malaga,8.6,express,en camino
110,2025-05-28,Toledo,Bilbao,11.46,estandar,entregado
111,2025-05-25,Madrid,Granada,20.22,estandar,en camino
112,2025-05-21,Sevilla,Barcelona,0.48,express,entregado
113,2025-05-10,Vigo,Malaga,22.8,express,en reparto
114,2025-05-09,Bilbao,Zaragoza,45.01,estandar,entregado
115,2025-05-29,Valencia,Zaragoza,29.67,estandar,entregado
116,2025-05-06,Granada,Bilbao,31.73,estandar,entregado
117,2025-05-30,Barcelona,Vigo,17.7,estandar,en reparto
118,2025-05-19,Malaga,Toledo,46.86,estandar,en camino
119,2025-05-23,Zaragoza,Barcelona,7.21,estandar,en camino
120,2025-05-03,Zaragoza,Valencia,18.38,express,en reparto
121,2025-05-13,Bilbao,Granada,25.39,estandar,en camino
122,2025-05-19,Bilbao,Barcelona,-5.87,estandar,en reparto
123,2025-05-19,Madrid,Barcelona,-2.4,estandar,en reparto
124,2025-05-14,Barcelona,Toledo,,estandar,en reparto
125,2025-05-09,Toledo,Bilbao,-7.45,express,entregado
126,2025-05-13,Madrid,Barcelona,15.07,express,en camino
127,2025-05-05,Barcelona,Malaga,45.1,estandar,en camino
128,2025-05-14,Granada,Barcelona,21.6,estandar,en camino
129,2025-05-31,Bilbao,Toledo,14.94,express,en camino
130,2025-05-22,Barcelona,Madrid,14.47,estandar,en reparto
131,2025-05-02,Barcelona,Toledo,36.78,estandar,entregado
132,2025-05-30,Madrid,Barcelona,21.72,estandar,en reparto
133,2025-05-07,Toledo,Zaragoza,6.83,estandar,entregado
134,2025-05-01,Madrid,Bilbao,15.87,express,en reparto
135,2025-05-06,Bilbao,Barcelona,-6.07,express,entregado
136,2025-05-11,Bilbao,Toledo,7.9,express,entregado
137,2025-05-08,Barcelona,Zaragoza,15.55,express,entregado
138,2025-05-14,Vigo,Toledo,49.03,express,en reparto
139,2025-05-21,Sevilla,Madrid,3.33,express,en reparto
140,2025-05-22,Valencia,Bilbao,22.62,express,entregado
141,2025-05-25,Barcelona,Zaragoza,26.18,estandar,en reparto
142,,Zaragoza,Vigo,35.93,estandar,en camino
143,2025-05-03,Vigo,Toledo,25.45,express,entregado
144,2025-05-22,Zaragoza,Barcelona,4.49,estandar,en reparto
145,2025-05-06,Granada,Vigo,44.89,estandar,entregado
146,2025-05-02,Zaragoza,Bilbao,-1.71,estandar,entregado
147,2025-05-03,Malaga,Toledo,10.99,estandar,en reparto
148,2025-05-26,Barcelona,Vigo,40.39,estandar,entregado
149,2025-05-27,Toledo,Malaga,-5.09,estandar,en camino
150,2025-05-30,Vigo,Bilbao,42.27,estandar,en camino
151,2025-05-31,Valencia,Malaga,37.28,estandar,entregado
152,2025-05-26,Madrid,Vigo,44.0,estandar,en reparto
153,2025-05-19,Bilbao,Madrid,34.44,estandar,en reparto
154,2025-05-05,Bilbao,Zaragoza,21.5,express,en camino
155,2025-05-10,Valencia,Toledo,-5.73,estandar,en reparto
156,2025-05-31,Sevilla,Madrid,49.35,estandar,entregado
157,2025-05-06,Toledo,Barcelona,10.97,express,en reparto
158,2025-05-09,Valencia,Zaragoza,49.25,estandar,entregado
159,2025-05-23,Zaragoza,Barcelona,6.27,express,en reparto
160,2025-05-06,Barcelona,Granada,45.16,estandar,en camino
161,2025-05-15,Valencia,Malaga,26.1,express,en reparto
162,2025-05-07,Barcelona,Valencia,35.26,estandar,en camino
163,2025-05-23,Barcelona,Zaragoza,42.6,estandar,en reparto
164,2025-05-31,Vigo,Barcelona,18.98,express,en reparto
165,2025-05-17,Toledo,Bilbao,37.2,estandar,en reparto
166,2025-05-09,Sevilla,Vigo,22.28,estandar,en camino
167,2025-05-04,Madrid,Sevilla,25.76,estandar,entregado
168,2025-05-06,Vigo,Bilbao,7.99,express,en reparto
169,2025-05-03,Valencia,Bilbao,-7.35,estandar,en reparto
170,2025-05-03,Zaragoza,Bilbao,49.76,express,en camino
171,2025-05-01,Madrid,Vigo,29.52,estandar,entregado
172,2025-05-03,Valencia,Barcelona,2.04,express,en reparto
173,2025-05-27,Toledo,Sevilla,41.18,express,en reparto
174,2025-05-03,Malaga,Toledo,45.27,express,en camino
175,2025-05-15,Madrid,Vigo,15.74,estandar,entregado
176,2025-05-24,Zaragoza,Bilbao,15.04,estandar,entregado
177,2025-05-11,Valencia,Bilbao,37.54,estandar,entregado
178,2025-05-29,Sevilla,Vigo,47.31,express,en camino
179,2025-05-26,Vigo,Barcelona,14.72,estandar,en reparto
180,2025-05-19,Bilbao,Malaga,33.58,estandar,entregado
181,2025-05-04,Malaga,Bilbao,23.87,estandar,en reparto
182,2025-05-31,Sevilla,Zaragoza,-5.61,express,entregado
183,2025-05-11,Madrid,Barcelona,1.0,express,en camino
184,2025-05-17,Sevilla,Toledo,22.3,estandar,en reparto
185,2025-05-17,Zaragoza,Bilbao,42.81,express,en reparto
186,2025-05-07,Zaragoza,Bilbao,13.47,express,en reparto
187,,Vigo,Malaga,27.72,estandar,en camino
188,2025-05-11,Zaragoza,Bilbao,29.25,estandar,en reparto
189,2025-05-02,Barcelona,Sevilla,16.78,estandar,en camino
190,2025-05-19,Zaragoza,Malaga,25.11,express,en reparto
191,2025-05-13,Sevilla,Zaragoza,33.36,estandar,en camino
192,2025-05-28,Valencia,Toledo,34.26,estandar,en camino
193,2025-05-27,Bilbao,Vigo,13.16,estandar,en camino
194,2025-05-01,Sevilla,Valencia,8.41,estandar,en camino
195,2025-05-11,Bilbao,Zaragoza,11.7,express,entregado
196,2025-05-14,Bilbao,Vigo,20.13,express,en reparto
197,2025-05-11,Barcelona,Madrid,22.01,estandar,en reparto
198,2025-05-07,Zaragoza,Barcelona,47.11,estandar,en camino
199,2025-05-15,Toledo,Barcelona,39.32,express,en camino
200,2025-05-09,Valencia,Barcelona,28.13,express,en camino
201,2025-05-18,Vigo,Barcelona,10.58,express,en reparto
202,,Zaragoza,Granada,34.54,estandar,en camino
203,2025-05-30,Malaga,Vigo,43.4,express,en reparto
204,2025-05-03,Sevilla,Madrid,33.1,express,en reparto
205,2025-05-13,Malaga,Madrid,6.58,estandar,en camino
206,2025-05-20,Granada,Sevilla,49.35,estandar,entregado
207,2025-05-02,Vigo,Bilbao,46.38,estandar,entregado
208,2025-05-14,Zaragoza,Toledo,11.54,estandar,en camino
209,2025-05-14,Valencia,Barcelona,20.28,express,entregado
210,2025-05-21,Toledo,Malaga,38.98,estandar,en reparto
211,2025-05-05,Sevilla,Barcelona,6.18,estandar,en reparto
212,2025-05-05,Granada,Vigo,1.43,estandar,entregado
213,2025-05-15,Barcelona,Malaga,39.86,express,entregado
214,2025/05/24,Madrid,Vigo,36.91,express,en camino
215,2025-05-09,Toledo,Madrid,47.37,express,en camino
216,2025-05-21,Madrid,Malaga,10.27,estandar,en camino
217,2025-05-29,Madrid,Granada,10.48,estandar,entregado
218,2025-05-16,Barcelona,Malaga,49.25,express,en reparto
219,2025-05-12,Valencia,Zaragoza,-6.4,estandar,en reparto
220,2025-05-15,Sevilla,Valencia,34.25,estandar,en reparto
221,2025-05-21,Vigo,Madrid,8.01,express,en camino
222,2025-05-22,Toledo,Bilbao,17.04,express,en reparto
223,2025-05-02,Zaragoza,Madrid,-5.39,express,entregado
224,2025-05-13,Vigo,Granada,23.18,express,en camino
225,2025-05-25,Valencia,Toledo,48.92,estandar,entregado
226,2025-05-26,Madrid,Granada,40.79,estandar,entregado
227,2025-05-21,Valencia,Malaga,19.39,estandar,en reparto
228,2025-05-31,Toledo,Malaga,44.84,estandar,entregado
229,2025-05-14,Vigo,Granada,3.65,express,en camino
230,2025-05-28,Sevilla,Madrid,14.58,estandar,en camino
231,2025-05-07,Toledo,Bilbao,30.74,express,en reparto
232,2025-05-10,Granada,Vigo,29.9,express,entregado
233,2025-05-25,Malaga,Barcelona,26.61,express,entregado
234,2025-05-13,Toledo,Vigo,-4.37,express,en reparto
235,2025-05-01,Toledo,Granada,48.8,estandar,en camino
236,2025-05-20,Malaga,Vigo,0.91,estandar,en reparto
237,2025-05-15,Bilbao,Sevilla,45.74,estandar,en reparto
238,2025-05-16,Vigo,Granada,25.47,estandar,en reparto
239,2025-05-11,Valencia,Zaragoza,35.5,estandar,en camino
240,2025-05-08,Madrid,Granada,,estandar,en camino
241,2025-05-04,Sevilla,Valencia,21.31,express,en reparto
242,2025-05-07,Zaragoza,Malaga,48.08,express,en camino
243,2025-05-11,Sevilla,Bilbao,47.2,estandar,en camino
244,2025-05-04,Bilbao,Vigo,4.92,estandar,en camino
245,2025-05-28,Granada,Sevilla,0.34,estandar,entregado
246,2025-05-10,Barcelona,Malaga,0.7,estandar,en camino
247,2025-05-09,Barcelona,Madrid,34.67,express,en camino
248,2025-05-19,Madrid,Toledo,29.87,estandar,entregado
249,2025-05-04,Zaragoza,Valencia,44.86,express,en reparto
250,2025-05-19,Valencia,Barcelona,5.87,express,entregado
251,2025-05-10,Toledo,Bilbao,7.03,express,en camino
252,2025-05-26,Madrid,Vigo,0.79,express,en reparto
253,2025-05-31,Toledo,Barcelona,9.63,estandar,en camino
254,2025-05-22,Toledo,Zaragoza,48.52,estandar,en reparto
255,2025-05-07,Sevilla,Madrid,23.29,estandar,entregado
256,2025-05-19,Sevilla,Barcelona,15.82,express,en reparto
257,2025-05-25,Barcelona,Valencia,41.06,express,en camino
258,2025-05-08,Bilbao,Zaragoza,46.36,express,entregado
259,2025-05-29,Barcelona,Zaragoza,38.44,express,en reparto
260,2025-05-17,Toledo,Madrid,3.14,estandar,en reparto
261,2025-05-04,Barcelona,Granada,15.75,estandar,en reparto
262,2025-05-21,Vigo,Valencia,-9.78,express,en reparto
263,2025-05-22,Vigo,Sevilla,38.41,estandar,entregado
264,2025-05-03,Granada,Barcelona,-5.49,estandar,entregado
265,2025-05-19,Toledo,Sevilla,49.52,express,en camino
266,2025-05-17,Barcelona,Valencia,32.55,express,entregado
267,2025-05-16,Valencia,Vigo,36.96,express,en camino
268,2025-05-19,Bilbao,Granada,18.35,estandar,en camino
269,2025-05-13,Malaga,Barcelona,-0.3,estandar,en reparto
270,2025-05-30,Malaga,Vigo,31.06,estandar,en reparto
271,2025/05/10,Bilbao,Granada,22.18,express,en reparto
272,2025-05-25,Madrid,Vigo,41.58,express,en camino
273,2025-05-15,Valencia,Sevilla,24.72,express,en camino
274,2025-05-27,Valencia,Vigo,-4.34,express,en camino
275,2025-05-11,Granada,Zaragoza,8.18,estandar,en camino
276,2025-05-15,Zaragoza,Sevilla,25.63,estandar,entregado
277,2025-05-29,Sevilla,Barcelona,-5.11,estandar,en camino
278,2025-05-16,Malaga,Granada,11.39,estandar,en reparto
279,2025-05-24,Valencia,Bilbao,27.13,estandar,en reparto
280,2025-05-15,Madrid,Valencia,-8.85,estandar,entregado
281,2025-05-08,Zaragoza,Bilbao,39.35,estandar,en reparto
282,2025-05-11,Vigo,Zaragoza,38.8,express,en camino
283,2025-05-25,Sevilla,Vigo,24.33,estandar,en camino
284,2025-05-23,Granada,Sevilla,27.27,express,entregado
285,2025-05-01,Zaragoza,Sevilla,7.6,estandar,en reparto
286,2025-05-04,Bilbao,Sevilla,13.84,estandar,en camino
287,2025-05-02,Barcelona,Zaragoza,0.57,estandar,en camino
288,2025/05/12,Bilbao,Valencia,39.0,estandar,en reparto
289,2025-05-24,Valencia,Zaragoza,43.29,express,en camino
290,2025-05-23,Barcelona,Zaragoza,30.19,estandar,entregado
291,2025-05-19,Sevilla,Vigo,36.24,estandar,en camino
292,2025-05-12,Barcelona,Malaga,37.65,express,entregado
293,2025-05-22,Zaragoza,Toledo,5.69,express,en reparto
294,2025-05-01,Zaragoza,Sevilla,38.18,express,entregado
295,2025-05-01,Sevilla,Granada,46.75,express,entregado
296,2025-05-14,Sevilla,Vigo,4.09,express,entregado
297,2025-05-07,Zaragoza,Vigo,9.73,express,en reparto
298,2025-05-13,Vigo,Valencia,16.43,express,en reparto
299,2025-05-13,Toledo,Vigo,4.53,estandar,en camino
300,2025-05-24,Granada,Vigo,,estandar,en reparto
301,2025-05-18,Malaga,Valencia,3.29,express,en camino
302,2025-05-22,Zaragoza,Madrid,35.45,express,en reparto
303,2025-05-11,Barcelona,Zaragoza,3.6,estandar,en camino
304,2025-05-01,Barcelona,Vigo,30.82,express,entregado
305,2025-05-08,Madrid,Zaragoza,41.32,express,en reparto
306,2025-05-25,Zaragoza,Vigo,27.88,estandar,en reparto
307,2025-05-30,Malaga,Valencia,29.55,estandar,entregado
308,2025-05-11,Malaga,Vigo,38.79,estandar,en camino
309,2025-05-20,Malaga,Barcelona,46.43,estandar,entregado
310,2025-05-22,Zaragoza,Bilbao,48.48,estandar,entregado
311,2025-05-09,Zaragoza,Bilbao,34.68,estandar,en camino
312,2025-05-28,Barcelona,Vigo,20.72,estandar,en reparto
313,2025/05/20,Malaga,Barcelona,35.58,estandar,en reparto
314,2025-05-28,Madrid,Vigo,10.67,estandar,entregado
315,2025-05-04,Vigo,Zaragoza,40.38,express,en camino
316,2025-05-28,Sevilla,Granada,3.91,estandar,entregado
317,2025-05-19,Valencia,Madrid,22.04,estandar,en camino
318,2025-05-31,Zaragoza,Malaga,13.32,express,entregado
319,2025-05-10,Barcelona,Toledo,37.76,express,en camino
320,2025-05-01,Toledo,Barcelona,-0.9,estandar,en camino
321,2025-05-08,Granada,Bilbao,,estandar,en camino
322,2025-05-03,Granada,Toledo,9.57,estandar,en camino
323,2025-05-09,Granada,Valencia,44.24,estandar,en reparto
324,2025-05-21,Toledo,Granada,43.86,express,en reparto
325,2025-05-30,Bilbao,Zaragoza,10.7,express,entregado
326,2025-05-10,Toledo,Bilbao,0.4,express,en reparto
327,2025-05-20,Valencia,Toledo,24.39,estandar,en reparto
328,2025-05-17,Sevilla,Zaragoza,19.29,express,en reparto
329,2025-05-19,Barcelona,Bilbao,23.37,express,en reparto
330,2025-05-31,Toledo,Valencia,1.7,estandar,entregado
331,2025-05-09,Valencia,Madrid,17.09,estandar,en reparto
332,2025-05-25,Valencia,Sevilla,13.36,express,en reparto
333,2025-05-28,Barcelona,Malaga,3.69,express,en reparto
334,2025-05-31,Barcelona,Madrid,4.04,estandar,en camino
335,2025-05-24,Granada,Bilbao,19.1,estandar,en reparto
336,2025-05-24,Valencia,Bilbao,37.65,estandar,en camino
337,2025-05-10,Bilbao,Granada,,estandar,entregado
338,2025-05-22,Vigo,Toledo,47.4,estandar,en camino
339,2025-05-26,Toledo,Bilbao,32.49,express,en reparto
340,2025-05-20,Zaragoza,Vigo,-5.36,estandar,en reparto
341,2025-05-20,Barcelona,Granada,40.37,estandar,en camino
342,2025-05-04,Toledo,Madrid,47.33,estandar,entregado
343,2025-05-31,Vigo,Madrid,-8.07,express,entregado
344,2025-05-02,Zaragoza,Madrid,37.64,estandar,entregado
345,2025-05-03,Zaragoza,Malaga,3.16,express,en reparto
346,2025-05-08,Valencia,Bilbao,19.36,estandar,en reparto
347,2025-05-11,Vigo,Bilbao,36.06,express,en camino
348,2025-05-21,Granada,Zaragoza,21.78,estandar,en reparto
349,2025-05-09,Vigo,Sevilla,8.82,express,en camino
350,2025-05-03,Bilbao,Vigo,32.54,express,en reparto
351,2025-05-08,Malaga,Zaragoza,29.3,estandar,en reparto
352,2025-05-01,Vigo,Granada,15.55,estandar,entregado
353,2025-05-02,Barcelona,Malaga,41.52,express,en reparto
354,2025-05-31,Zaragoza,Granada,6.38,express,entregado
355,2025-05-25,Toledo,Vigo,1.46,express,entregado
356,2025-05-30,Madrid,Sevilla,32.82,estandar,entregado
357,2025-05-23,Sevilla,Zaragoza,20.15,estandar,entregado
358,2025-05-05,Toledo,Zaragoza,5.77,express,en reparto
359,2025-05-21,Toledo,Bilbao,5.05,estandar,entregado
360,2025-05-12,Vigo,Bilbao,31.51,estandar,en camino
361,2025-05-25,Sevilla,Malaga,19.95,express,entregado
362,2025/05/15,Zaragoza,Valencia,20.23,express,entregado
363,2025-05-11,Vigo,Toledo,30.66,express,entregado
364,2025-05-26,Vigo,Malaga,16.88,express,en camino
365,2025-05-18,Granada,Malaga,15.49,express,en reparto
366,2025-05-26,Toledo,Barcelona,14.98,estandar,entregado
367,2025-05-28,Malaga,Toledo,30.07,express,entregado
368,2025-05-19,Zaragoza,Barcelona,38.99,express,en camino
369,2025-05-26,Valencia,Toledo,39.07,estandar,entregado
370,2025-05-01,Malaga,Bilbao,-5.69,express,en camino
371,2025-05-15,Valencia,Zaragoza,10.05,estandar,entregado
372,2025-05-02,Valencia,Vigo,47.35,estandar,en reparto
373,2025-05-06,Zaragoza,Malaga,21.45,express,en camino
374,2025-05-28,Barcelona,Valencia,-9.46,estandar,en camino
375,2025-05-11,Toledo,Vigo,42.55,estandar,en camino
376,2025-05-22,Madrid,Valencia,47.44,estandar,en reparto
377,2025-05-20,Toledo,Madrid,41.45,express,en reparto
378,2025-05-26,Zaragoza,Valencia,34.55,estandar,entregado
379,2025-05-21,Madrid,Bilbao,41.85,express,en reparto
380,2025/05/22,Toledo,Granada,30.34,estandar,en camino
381,2025-05-20,Sevilla,Bilbao,12.26,express,en camino
382,2025-05-11,Granada,Toledo,44.74,estandar,en reparto
383,2025-05-24,Malaga,Valencia,13.26,express,en camino
384,2025-05-18,Bilbao,Zaragoza,-9.34,estandar,entregado
385,2025-05-04,Sevilla,Bilbao,35.93,express,en reparto
386,2025-05-04,Valencia,Vigo,40.77,estandar,en reparto
387,2025-05-24,Granada,Vigo,43.47,express,en reparto
388,2025-05-31,Barcelona,Bilbao,24.31,express,en reparto
389,2025-05-07,Bilbao,Vigo,46.23,express,en camino
390,2025-05-20,Bilbao,Valencia,14.95,express,en reparto
391,2025-05-17,Granada,Toledo,48.97,estandar,entregado
392,2025-05-19,Toledo,Vigo,9.06,express,entregado
393,2025-05-05,Malaga,Valencia,15.49,express,en camino
394,2025-05-24,Vigo,Madrid,21.26,estandar,en camino
395,2025-05-06,Madrid,Malaga,-5.84,estandar,en reparto
396,2025-05-04,Malaga,Zaragoza,23.46,express,en reparto
397,2025-05-25,Valencia,Granada,38.03,estandar,en camino
398,2025-05-31,Sevilla,Bilbao,7.24,express,entregado
399,2025-05-29,Toledo,Valencia,44.16,estandar,entregado
400,2025-05-25,Sevilla,Madrid,32.66,express,en camino
401,2025-05-01,Vigo,Valencia,-8.02,estandar,entregado
402,2025-05-15,Malaga,Toledo,45.91,estandar,en reparto
403,2025-05-24,Toledo,Sevilla,-9.09,estandar,entregado
404,2025-05-09,Malaga,Vigo,1.91,estandar,entregado
405,2025-05-21,Zaragoza,Madrid,40.01,express,en camino
406,2025-05-25,Malaga,Valencia,0.59,estandar,entregado
407,2025-05-18,Bilbao,Sevilla,20.53,express,en reparto
408,2025-05-29,Valencia,Granada,22.83,estandar,entregado
409,2025-05-31,Barcelona,Sevilla,29.2,estandar,en reparto
410,2025/05/22,Toledo,Vigo,2.94,express,en reparto
411,2025-05-18,Granada,Sevilla,31.2,estandar,en reparto
412,2025-05-12,Valencia,Zaragoza,26.27,estandar,entregado
413,2025-05-06,Barcelona,Vigo,-2.16,estandar,en camino
414,2025-05-10,Barcelona,Madrid,-4.26,express,entregado
415,2025-05-30,Zaragoza,Granada,46.91,estandar,en reparto
416,2025-05-30,Zaragoza,Valencia,30.51,express,en camino
417,2025-05-27,Sevilla,Malaga,20.37,express,en camino
418,2025-05-27,Sevilla,Toledo,23.34,express,en reparto
419,2025-05-20,Madrid,Granada,21.4,estandar,entregado
420,2025-05-02,Malaga,Barcelona,7.96,express,en reparto
421,2025-05-02,Bilbao,Valencia,34.91,express,en camino
422,2025-05-10,Sevilla,Vigo,39.33,estandar,entregado
423,2025-05-08,Barcelona,Sevilla,,estandar,en camino
424,2025-05-01,Zaragoza,Bilbao,-0.36,estandar,en reparto
425,2025-05-13,Toledo,Madrid,3.98,express,entregado
426,2025-05-11,Barcelona,Bilbao,4.51,express,en reparto
427,2025-05-08,Granada,Toledo,22.5,estandar,entregado
428,2025-05-02,Vigo,Granada,-2.66,express,en camino
429,2025-05-23,Sevilla,Valencia,6.29,estandar,en reparto
430,2025-05-17,Zaragoza,Granada,25.93,express,entregado
431,2025-05-16,Vigo,Granada,23.46,express,en camino
432,2025-05-22,Granada,Malaga,13.29,estandar,en camino
433,2025-05-24,Toledo,Vigo,-2.17,estandar,entregado
434,2025-05-02,Madrid,Valencia,-4.6,estandar,entregado
435,2025-05-06,Granada,Zaragoza,-5.38,express,en camino
436,2025-05-27,Bilbao,Sevilla,21.86,express,en camino
437,2025-05-05,Granada,Vigo,-8.05,express,entregado
438,2025-05-21,Barcelona,Zaragoza,38.9,express,entregado
439,2025-05-24,Sevilla,Valencia,11.39,express,entregado
440,2025-05-03,Vigo,Granada,27.98,express,en camino
441,2025-05-30,Granada,Madrid,4.58,express,en reparto
442,2025-05-21,Granada,Sevilla,21.92,express,en reparto
443,2025-05-22,Zaragoza,Granada,21.76,express,entregado
444,2025-05-24,Zaragoza,Bilbao,47.88,express,en reparto
